
query 1: retrieve all 'fashion' products with attributes
product: Sleek Sneakers 236, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Compact Dress 677, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Women'}
product: Handcrafted Watch 673, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Men'}
product: Durable Sneakers 898, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Women'}
product: Urban Sneakers 771, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Vintage Watch 920, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Men'}
product: Minimalist Sneakers 518, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Retro Jacket 523, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Compact Dress 374, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Unisex'}
product: Urban Dress 274, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Unisex'}
product: Premium Sneakers 531, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Men'}
product: Sleek Jacket 203, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Men'}
product: Futuristic Jeans 434, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Men'}
product: Minimalist Jacket 549, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Unisex'}
product: Sleek Jacket 187, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Men'}
product: Vintage Dress 825, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Women'}
product: Essential Jacket 603, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Unisex'}
product: Heavy-duty Jacket 215, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Unisex'}
product: Modern Sneakers 191, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Men'}
product: Smart Jacket 869, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Pro Jeans 445, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Luxury Watch 584, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Industrial Jeans 217, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Women'}
product: Sleek Jacket 582, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Nordic Sneakers 594, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Urban Sneakers 775, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Unisex'}
product: Handcrafted Dress 494, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Retro Watch 572, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Men'}
product: Vintage T-Shirt 605, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Urban Sneakers 111, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Sleek Jeans 819, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Compact Watch 665, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Men'}
product: Handcrafted Sneakers 256, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Men'}
product: Minimalist Jacket 296, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Eco-friendly T-Shirt 925, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Unisex'}
product: Minimalist Jacket 918, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Men'}
product: Sleek Jacket 645, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Men'}
product: Modern Watch 276, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Men'}
product: Urban Jacket 941, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Men'}
product: Industrial Watch 569, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Men'}
product: Ultra-light T-Shirt 358, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Smart Watch 646, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Minimalist Jacket 364, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Men'}
product: Compact Watch 675, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Unisex'}
product: Ergonomic Watch 963, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
product: Sleek Jeans 683, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Retro Jeans 697, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Ultra-light Watch 431, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Unisex'}
product: Compact Dress 675, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Unisex'}
product: Artisan Sneakers 848, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Men'}
product: Durable Jeans 318, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Unisex'}
product: Luxury Jeans 536, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Men'}
product: Ultra-light Watch 188, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Men'}
product: Artisan T-Shirt 340, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Retro T-Shirt 247, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Men'}
product: Ultra-light Dress 828, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Industrial Watch 313, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Women'}
product: Vintage Dress 530, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Men'}
product: Ergonomic Watch 262, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Women'}
product: Essential Watch 606, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Urban T-Shirt 838, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
product: Essential Jacket 308, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Women'}
product: Ultra-light Jacket 508, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Women'}
product: Vintage Jacket 362, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Men'}
product: Pro Sneakers 206, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Modern Dress 229, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Women'}
product: Durable T-Shirt 772, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Vintage Jeans 408, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Men'}
product: Organic Jacket 806, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Compact T-Shirt 731, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Ergonomic Dress 714, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
product: Compact T-Shirt 614, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Men'}
product: Handcrafted Sneakers 444, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Futuristic Watch 296, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Men'}
product: Modern Watch 366, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Unisex'}
product: Luxury Jacket 238, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Men'}
product: Pro Dress 666, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Unisex'}
product: Organic Sneakers 753, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Men'}
product: Artisan Watch 572, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Men'}
product: Urban Dress 507, attributes: {'material': 'Polyester', 'style': 'Streetwear', 'gender': 'Women'}
product: Luxury Dress 111, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Pro Jeans 236, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Smart Jacket 630, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Men'}
product: Ultra-light Watch 865, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Men'}
product: Handcrafted Watch 228, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Unisex'}
product: Vintage Jacket 817, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Men'}
product: Premium Sneakers 913, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Nordic Sneakers 895, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Vintage T-Shirt 906, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Women'}
product: Industrial Watch 671, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Modern Watch 513, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Smart Jacket 876, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Durable T-Shirt 686, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Vintage Watch 754, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Durable Jacket 790, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Men'}
product: Modern Jeans 631, attributes: {'material': 'Polyester', 'style': 'Streetwear', 'gender': 'Men'}
product: Ultra-light Dress 306, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Unisex'}
product: Handcrafted Jacket 446, attributes: {'material': 'Polyester', 'style': 'Streetwear', 'gender': 'Men'}
product: Handcrafted Sneakers 973, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Men'}
product: Premium Dress 943, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Essential Sneakers 289, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Unisex'}
product: Smart Watch 690, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Ergonomic T-Shirt 540, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
product: Luxury Jacket 302, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Unisex'}
product: Handcrafted T-Shirt 339, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Unisex'}
product: Pro T-Shirt 894, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Men'}
product: Smart Watch 230, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Women'}
product: Modern Jacket 360, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Women'}
product: Ultra-light Sneakers 192, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Men'}
product: Sleek T-Shirt 767, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Futuristic Watch 929, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Women'}
product: Essential Jeans 916, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
product: Compact Jacket 303, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Men'}
product: Organic Jacket 749, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Men'}
product: Organic T-Shirt 397, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Essential T-Shirt 506, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Unisex'}
product: Premium Jeans 603, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Unisex'}
product: Sleek Jeans 888, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Eco-friendly Jacket 707, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Unisex'}
product: Heavy-duty Sneakers 674, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Women'}
product: Ergonomic Jacket 100, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Ultra-light Watch 523, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Men'}
product: Premium T-Shirt 419, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Men'}
product: Modern Watch 797, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Women'}
product: Smart Dress 739, attributes: {'material': 'Polyester', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Compact Sneakers 804, attributes: {'material': 'Polyester', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Compact Sneakers 750, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Women'}
product: Durable Sneakers 663, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Sleek T-Shirt 191, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Men'}
product: Compact Jacket 588, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Durable Watch 492, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Men'}
product: Luxury Jeans 956, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Men'}
product: Luxury T-Shirt 418, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Women'}
product: Vintage Watch 450, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Men'}
product: Heavy-duty Dress 107, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Men'}
product: Pro Sneakers 130, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Ergonomic Sneakers 146, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Women'}
product: Heavy-duty Jacket 376, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Industrial Dress 266, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Unisex'}
product: Artisan Dress 199, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Women'}
product: Smart Dress 184, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Handcrafted Jeans 675, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Eco-friendly Watch 441, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Unisex'}
product: Compact Dress 603, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Women'}
product: Eco-friendly Jeans 294, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Women'}
product: Smart Jeans 192, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Men'}
product: Industrial T-Shirt 349, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Men'}
product: Vintage Watch 919, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Smart Dress 218, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Men'}
product: Futuristic Sneakers 559, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Unisex'}
product: Essential T-Shirt 435, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Men'}
product: Eco-friendly Dress 830, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Vintage Dress 169, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Unisex'}
product: Modern Jeans 896, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Women'}
product: Compact Jacket 170, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Men'}
product: Nordic Sneakers 177, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Unisex'}
product: Durable Dress 239, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Women'}
product: Smart Dress 424, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Men'}
product: Vintage T-Shirt 966, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Unisex'}
product: Sleek T-Shirt 369, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Men'}
product: Industrial Watch 963, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Men'}
product: Retro T-Shirt 951, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Women'}
product: Premium T-Shirt 590, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Unisex'}
product: Industrial Jeans 132, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Women'}
product: Retro Dress 355, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Ergonomic Watch 185, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Women'}
product: Urban Jeans 410, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
